date,tariff_period,total_consumption,avg_consumption,reading_count
2023-03-07,off_peak,666.8576,3.7048,180
2023-03-07,peak,705.1883,6.5295,108
2023-03-08,off_peak,670.7873,3.7266,180
2023-03-08,peak,699.3452,6.4754,108
2023-03-09,off_peak,681.5926,3.7866,180
2023-03-09,peak,684.8047,6.3408,108
2023-03-10,off_peak,662.6964,3.6816,180
2023-03-10,peak,689.4669,6.384,108
2023-03-11,off_peak,507.1358,2.8174,180
2023-03-11,peak,556.9877,5.1573,108
2023-03-12,off_peak,515.0448,2.8614,180
2023-03-12,peak,530.6747,4.9137,108
2023-03-13,off_peak,655.7371,3.643,180
2023-03-13,peak,708.8579,6.5635,108
2023-03-14,off_peak,663.7086,3.6873,180
2023-03-14,peak,685.5533,6.3477,108
2023-03-15,off_peak,677.2184,3.7623,180
2023-03-15,peak,687.0176,6.3613,108
2023-03-16,off_peak,660.968,3.672,180
2023-03-16,peak,688.2756,6.3729,108
2023-03-17,off_peak,656.5536,3.6475,180
2023-03-17,peak,659.8867,6.1101,108
2023-03-18,off_peak,536.0784,2.9782,180
2023-03-18,peak,512.2951,4.7435,108
2023-03-19,off_peak,499.181,2.7732,180
2023-03-19,peak,533.9069,4.9436,108
2023-03-20,off_peak,666.5045,3.7028,180
2023-03-20,peak,669.0387,6.1948,108
2023-03-21,off_peak,676.3452,3.7575,180
2023-03-21,peak,649.3797,6.0128,108
2023-03-22,off_peak,673.2224,3.7401,180
2023-03-22,peak,675.3346,6.2531,108
2023-03-23,off_peak,653.6256,3.6313,180
2023-03-23,peak,682.4621,6.3191,108
2023-03-24,off_peak,641.7633,3.5654,180
2023-03-24,peak,668.7639,6.1923,108
2023-03-25,off_peak,483.1283,2.684,180
2023-03-25,peak,530.9098,4.9158,108
2023-03-26,off_peak,515.2182,2.8623,180
2023-03-26,peak,497.1643,4.6034,108
2023-03-27,off_peak,638.6655,3.5481,180
2023-03-27,peak,649.5871,6.0147,108
2023-03-28,off_peak,655.4245,3.6412,180
2023-03-28,peak,656.7168,6.0807,108
2023-03-29,off_peak,636.6711,3.5371,180
2023-03-29,peak,654.009,6.0556,108
2023-03-30,off_peak,647.6338,3.598,180
2023-03-30,peak,694.0066,6.426,108
2023-03-31,off_peak,656.1693,3.6454,180
2023-03-31,peak,655.7893,6.0721,108
2023-04-01,off_peak,491.1742,2.7287,180
2023-04-01,peak,503.6796,4.6637,108
2023-04-02,off_peak,484.9712,2.6943,180
2023-04-02,peak,516.8773,4.7859,108
2023-04-03,off_peak,647.6393,3.598,180
2023-04-03,peak,662.0788,6.1304,108
2023-04-04,off_peak,632.0784,3.5115,180
2023-04-04,peak,652.7778,6.0442,108
2023-04-05,off_peak,637.162,3.5398,180
2023-04-05,peak,634.6802,5.8767,108
2023-04-06,off_peak,634.1669,3.5231,180
2023-04-06,peak,639.4453,5.9208,108
2023-04-07,off_peak,643.6304,3.5757,180
2023-04-07,peak,709.349,6.568,108
2023-04-08,off_peak,497.0074,2.7612,180
2023-04-08,peak,515.625,4.7743,108
2023-04-09,off_peak,484.6139,2.6923,180
2023-04-09,peak,516.2658,4.7802,108
2023-04-10,off_peak,657.992,3.6555,180
2023-04-10,peak,661.1857,6.1221,108
2023-04-11,off_peak,635.6071,3.5312,180
2023-04-11,peak,639.0177,5.9168,108
2023-04-12,off_peak,629.9404,3.4997,180
2023-04-12,peak,684.8754,6.3414,108
2023-04-13,off_peak,660.8699,3.6715,180
2023-04-13,peak,690.8356,6.3966,108
2023-04-14,off_peak,642.2741,3.5682,180
2023-04-14,peak,655.635,6.0707,108
2023-04-15,off_peak,505.2027,2.8067,180
2023-04-15,peak,497.4467,4.606,108
2023-04-16,off_peak,486.7951,2.7044,180
2023-04-16,peak,496.2539,4.5949,108
2023-04-17,off_peak,638.6752,3.5482,180
2023-04-17,peak,652.3421,6.0402,108
2023-04-18,off_peak,649.9135,3.6106,180
2023-04-18,peak,648.7918,6.0073,108
2023-04-19,off_peak,630.1527,3.5008,180
2023-04-19,peak,647.2352,5.9929,108
2023-04-20,off_peak,641.3447,3.563,180
2023-04-20,peak,651.5014,6.0324,108
2023-04-21,off_peak,648.148,3.6008,180
2023-04-21,peak,656.3915,6.0777,108
2023-04-22,off_peak,502.8853,2.7938,180
2023-04-22,peak,504.3542,4.6699,108
2023-04-23,off_peak,496.7596,2.7598,180
2023-04-23,peak,520.021,4.815,108
2023-04-24,off_peak,648.4023,3.6022,180
2023-04-24,peak,658.4893,6.0971,108
2023-04-25,off_peak,655.8644,3.6437,180
2023-04-25,peak,658.6275,6.0984,108
2023-04-26,off_peak,648.4612,3.6026,180
2023-04-26,peak,652.9115,6.0455,108
2023-04-27,off_peak,641.4613,3.5637,180
2023-04-27,peak,657.8112,6.0908,108
2023-04-28,off_peak,661.1413,3.673,180
2023-04-28,peak,675.4437,6.2541,108
2023-04-29,off_peak,495.3992,2.7522,180
2023-04-29,peak,500.7545,4.6366,108
2023-04-30,off_peak,501.5884,2.7866,180
2023-04-30,peak,518.9684,4.8053,108
2023-05-01,off_peak,686.9733,3.8165,180
2023-05-01,peak,685.867,6.3506,108
2023-05-02,off_peak,646.8496,3.5936,180
2023-05-02,peak,678.9227,6.2863,108
2023-05-03,off_peak,669.7764,3.721,180
2023-05-03,peak,685.1938,6.3444,108
2023-05-04,off_peak,700.9312,3.8941,180
2023-05-04,peak,704.9102,6.5269,108
2023-05-05,off_peak,657.1802,3.651,180
2023-05-05,peak,739.6913,6.849,108
2023-05-06,off_peak,526.9261,2.9274,180
2023-05-06,peak,569.1244,5.2697,108
2023-05-07,off_peak,511.6931,2.8427,180
2023-05-07,peak,536.0332,4.9633,108
2023-05-08,off_peak,667.0327,3.7057,180
2023-05-08,peak,712.2329,6.5947,108
2023-05-09,off_peak,727.9801,4.0443,180
2023-05-09,peak,686.489,6.3564,108
2023-05-10,off_peak,674.0396,3.7447,180
2023-05-10,peak,699.8344,6.4799,108
2023-05-11,off_peak,689.6446,3.8314,180
2023-05-11,peak,726.502,6.7269,108
2023-05-12,off_peak,685.0632,3.8059,180
2023-05-12,peak,698.0668,6.4636,108
2023-05-13,off_peak,526.9434,2.9275,180
2023-05-13,peak,551.4041,5.1056,108
2023-05-14,off_peak,519.6256,2.8868,180
2023-05-14,peak,560.2769,5.1877,108
2023-05-15,off_peak,702.1808,3.901,180
2023-05-15,peak,718.1702,6.6497,108
2023-05-16,off_peak,679.9645,3.7776,180
2023-05-16,peak,696.1928,6.4462,108
2023-05-17,off_peak,697.3291,3.8741,180
2023-05-17,peak,712.991,6.6018,108
2023-05-18,off_peak,688.1741,3.8232,180
2023-05-18,peak,729.5014,6.7546,108
2023-05-19,off_peak,693.9062,3.855,180
2023-05-19,peak,728.0712,6.7414,108
2023-05-20,off_peak,521.0154,2.8945,180
2023-05-20,peak,539.0067,4.9908,108
2023-05-21,off_peak,507.3435,2.8186,180
2023-05-21,peak,567.2628,5.2524,108
2023-05-22,off_peak,702.5635,3.9031,180
2023-05-22,peak,713.6538,6.6079,108
2023-05-23,off_peak,718.5402,3.9919,180
2023-05-23,peak,722.8612,6.6932,108
2023-05-24,off_peak,683.1738,3.7954,180
2023-05-24,peak,732.2259,6.7799,108
2023-05-25,off_peak,702.9884,3.9055,180
2023-05-25,peak,735.2187,6.8076,108
2023-05-26,off_peak,725.0661,4.0281,180
2023-05-26,peak,782.147,7.2421,108
2023-05-27,off_peak,537.595,2.9866,180
2023-05-27,peak,619.8683,5.7395,108
2023-05-28,off_peak,557.9706,3.0998,180
2023-05-28,peak,561.6792,5.2007,108
2023-05-29,off_peak,722.0201,4.0112,180
2023-05-29,peak,762.8676,7.0636,108
2023-05-30,off_peak,730.5426,4.0586,180
2023-05-30,peak,794.1786,7.3535,108
2023-05-31,off_peak,731.7158,4.0651,180
2023-05-31,peak,799.096,7.399,108
2023-06-01,off_peak,739.4661,4.1081,180
2023-06-01,peak,758.6042,7.0241,108
2023-06-02,off_peak,747.3858,4.1521,180
2023-06-02,peak,735.1846,6.8073,108
2023-06-03,off_peak,552.4918,3.0694,180
2023-06-03,peak,602.0386,5.5744,108
2023-06-04,off_peak,556.792,3.0933,180
2023-06-04,peak,593.6081,5.4964,108
2023-06-05,off_peak,753.9639,4.1887,180
2023-06-05,peak,753.536,6.9772,108
2023-06-06,off_peak,765.8768,4.2549,180
2023-06-06,peak,738.7946,6.8407,108
2023-06-07,off_peak,728.5474,4.0475,180
2023-06-07,peak,808.3894,7.4851,108
2023-06-08,off_peak,724.2609,4.0237,180
2023-06-08,peak,764.4953,7.0787,108
2023-06-09,off_peak,747.3402,4.1519,180
2023-06-09,peak,791.4708,7.3284,108
2023-06-10,off_peak,562.3115,3.124,180
2023-06-10,peak,627.8474,5.8134,108
2023-06-11,off_peak,568.966,3.1609,180
2023-06-11,peak,581.5761,5.385,108
2023-06-12,off_peak,780.2376,4.3347,180
2023-06-12,peak,778.4276,7.2077,108
2023-06-13,off_peak,750.094,4.1672,180
2023-06-13,peak,786.6781,7.2841,108
2023-06-14,off_peak,742.8026,4.1267,180
2023-06-14,peak,797.9738,7.3886,108
2023-06-15,off_peak,789.3437,4.3852,180
2023-06-15,peak,782.1761,7.2424,108
2023-06-16,off_peak,761.42,4.2301,180
2023-06-16,peak,779.8494,7.2208,108
2023-06-17,off_peak,567.7263,3.154,180
2023-06-17,peak,589.9428,5.4624,108
2023-06-18,off_peak,574.3682,3.1909,180
2023-06-18,peak,594.9131,5.5085,108
2023-06-19,off_peak,759.9555,4.222,180
2023-06-19,peak,785.2658,7.271,108
2023-06-20,off_peak,738.1291,4.1007,180
2023-06-20,peak,821.4906,7.6064,108
2023-06-21,off_peak,753.601,4.1867,180
2023-06-21,peak,805.8869,7.4619,108
2023-06-22,off_peak,780.7478,4.3375,180
2023-06-22,peak,773.4122,7.1612,108
2023-06-23,off_peak,767.5417,4.2641,180
2023-06-23,peak,811.8386,7.517,108
2023-06-24,off_peak,572.2739,3.1793,180
2023-06-24,peak,623.6813,5.7748,108
2023-06-25,off_peak,598.95,3.3275,180
2023-06-25,peak,622.7406,5.7661,108
2023-06-26,off_peak,753.3075,4.185,180
2023-06-26,peak,807.5931,7.4777,108
2023-06-27,off_peak,745.4872,4.1416,180
2023-06-27,peak,816.7106,7.5621,108
2023-06-28,off_peak,762.1649,4.2342,180
2023-06-28,peak,806.703,7.4695,108
2023-06-29,off_peak,772.7757,4.2932,180
2023-06-29,peak,797.8425,7.3874,108
2023-06-30,off_peak,754.4124,4.1912,180
2023-06-30,peak,821.9166,7.6103,108
2023-07-01,off_peak,600.4347,3.3357,180
2023-07-01,peak,589.6561,5.4598,108
2023-07-02,off_peak,567.1767,3.151,180
2023-07-02,peak,622.8449,5.7671,108
2023-07-03,off_peak,763.1761,4.2399,180
2023-07-03,peak,801.1184,7.4178,108
2023-07-04,off_peak,747.7156,4.154,180
2023-07-04,peak,814.2121,7.539,108
2023-07-05,off_peak,767.2137,4.2623,180
2023-07-05,peak,806.8019,7.4704,108
2023-07-06,off_peak,752.3828,4.1799,180
2023-07-06,peak,789.0481,7.306,108
2023-07-07,off_peak,766.9631,4.2609,180
2023-07-07,peak,816.7318,7.5623,108
2023-07-08,off_peak,574.0246,3.189,180
2023-07-08,peak,620.5034,5.7454,108
2023-07-09,off_peak,604.2638,3.357,180
2023-07-09,peak,634.4717,5.8747,108
2023-07-10,off_peak,771.5812,4.2866,180
2023-07-10,peak,804.7419,7.4513,108
2023-07-11,off_peak,809.2915,4.4961,180
2023-07-11,peak,901.8903,8.3508,108
2023-07-12,off_peak,758.555,4.2142,180
2023-07-12,peak,791.5614,7.3293,108
2023-07-13,off_peak,765.4872,4.2527,180
2023-07-13,peak,785.6167,7.2742,108
2023-07-14,off_peak,765.401,4.2522,180
2023-07-14,peak,847.2421,7.8448,108
2023-07-15,off_peak,574.1633,3.1898,180
2023-07-15,peak,627.9118,5.814,108
2023-07-16,off_peak,592.7019,3.2928,180
2023-07-16,peak,619.6653,5.7376,108
2023-07-17,off_peak,791.7505,4.3986,180
2023-07-17,peak,807.6632,7.4784,108
2023-07-18,off_peak,777.3963,4.3189,180
2023-07-18,peak,819.5378,7.5883,108
2023-07-19,off_peak,771.319,4.2851,180
2023-07-19,peak,801.7845,7.4239,108
2023-07-20,off_peak,740.8793,4.116,180
2023-07-20,peak,794.0157,7.352,108
2023-07-21,off_peak,754.3824,4.191,180
2023-07-21,peak,798.4436,7.393,108
2023-07-22,off_peak,579.0458,3.2169,180
2023-07-22,peak,619.029,5.7318,108
2023-07-23,off_peak,585.8686,3.2548,180
2023-07-23,peak,598.6066,5.5427,108
2023-07-24,off_peak,792.689,4.4038,180
2023-07-24,peak,797.9812,7.3887,108
2023-07-25,off_peak,744.5927,4.1366,180
2023-07-25,peak,807.6399,7.4781,108
2023-07-26,off_peak,728.8782,4.0493,180
2023-07-26,peak,783.4059,7.2538,108
2023-07-27,off_peak,796.1733,4.4232,180
2023-07-27,peak,788.3433,7.2995,108
2023-07-28,off_peak,748.3567,4.1575,180
2023-07-28,peak,803.2282,7.4373,108
2023-07-29,off_peak,581.2952,3.2294,180
2023-07-29,peak,596.1243,5.5197,108
2023-07-30,off_peak,582.1522,3.2342,180
2023-07-30,peak,603.8664,5.5914,108
2023-07-31,off_peak,757.1454,4.2064,180
2023-07-31,peak,807.8681,7.4803,108
2023-08-01,off_peak,738.7213,4.104,180
2023-08-01,peak,803.115,7.4363,108
2023-08-02,off_peak,750.7455,4.1708,180
2023-08-02,peak,801.4999,7.4213,108
2023-08-03,off_peak,764.0118,4.2445,180
2023-08-03,peak,780.1031,7.2232,108
2023-08-04,off_peak,806.494,4.4805,180
2023-08-04,peak,841.087,7.7878,108
2023-08-05,off_peak,571.5267,3.1751,180
2023-08-05,peak,611.5116,5.6621,108
2023-08-06,off_peak,562.4008,3.1244,180
2023-08-06,peak,607.938,5.6291,108
2023-08-07,off_peak,767.176,4.2621,180
2023-08-07,peak,813.4929,7.5323,108
2023-08-08,off_peak,751.3257,4.174,180
2023-08-08,peak,814.7609,7.5441,108
2023-08-09,off_peak,755.9169,4.1995,180
2023-08-09,peak,807.54,7.4772,108
2023-08-10,off_peak,748.2401,4.1569,180
2023-08-10,peak,783.2205,7.252,108
2023-08-11,off_peak,749.9602,4.1664,180
2023-08-11,peak,773.294,7.1601,108
2023-08-12,off_peak,545.7212,3.0318,180
2023-08-12,peak,596.5938,5.524,108
2023-08-13,off_peak,555.4531,3.0859,180
2023-08-13,peak,595.7281,5.516,108
2023-08-14,off_peak,757.0337,4.2057,180
2023-08-14,peak,760.1951,7.0388,108
2023-08-15,off_peak,732.4508,4.0692,180
2023-08-15,peak,754.2146,6.9835,108
2023-08-16,off_peak,751.4499,4.1747,180
2023-08-16,peak,768.0214,7.1113,108
2023-08-17,off_peak,705.2982,3.9183,180
2023-08-17,peak,752.3864,6.9665,108
2023-08-18,off_peak,713.8536,3.9659,180
2023-08-18,peak,766.3848,7.0962,108
2023-08-19,off_peak,547.9076,3.0439,180
2023-08-19,peak,604.2678,5.5951,108
2023-08-20,off_peak,575.0274,3.1946,180
2023-08-20,peak,573.7032,5.3121,108
2023-08-21,off_peak,725.3476,4.0297,180
2023-08-21,peak,795.9892,7.3703,108
2023-08-22,off_peak,695.8652,3.8659,180
2023-08-22,peak,762.8534,7.0635,108
2023-08-23,off_peak,718.4873,3.9916,180
2023-08-23,peak,757.1893,7.011,108
2023-08-24,off_peak,742.4539,4.1247,180
2023-08-24,peak,726.0106,6.7223,108
2023-08-25,off_peak,716.381,3.9799,180
2023-08-25,peak,732.4623,6.7821,108
2023-08-26,off_peak,538.7072,2.9928,180
2023-08-26,peak,592.7356,5.4883,108
2023-08-27,off_peak,535.6628,2.9759,180
2023-08-27,peak,547.2092,5.0668,108
2023-08-28,off_peak,740.4633,4.1137,180
2023-08-28,peak,764.5823,7.0795,108
2023-08-29,off_peak,695.2741,3.8626,180
2023-08-29,peak,738.7376,6.8402,108
2023-08-30,off_peak,697.1462,3.873,180
2023-08-30,peak,721.7458,6.6828,108
2023-08-31,off_peak,687.4381,3.8191,180
2023-08-31,peak,735.7161,6.8122,108
2023-09-01,off_peak,678.4496,3.7692,180
2023-09-01,peak,755.5557,6.9959,108
2023-09-02,off_peak,532.9391,2.9608,180
2023-09-02,peak,553.0899,5.1212,108
2023-09-03,off_peak,533.0005,2.9611,180
2023-09-03,peak,534.8924,4.9527,108
2023-09-04,off_peak,689.6413,3.8313,180
2023-09-04,peak,699.2717,6.4747,108
2023-09-05,off_peak,698.6049,3.8811,180
2023-09-05,peak,732.019,6.778,108
2023-09-06,off_peak,680.2459,3.7791,180
2023-09-06,peak,679.9515,6.2958,108
2023-09-07,off_peak,677.4065,3.7634,180
2023-09-07,peak,699.8206,6.4798,108
2023-09-08,off_peak,705.9443,3.9219,180
2023-09-08,peak,683.9375,6.3328,108
2023-09-09,off_peak,518.2179,2.879,180
2023-09-09,peak,519.4207,4.8095,108
2023-09-10,off_peak,539.3223,2.9962,180
2023-09-10,peak,521.3175,4.827,108
2023-09-11,off_peak,671.3871,3.7299,180
2023-09-11,peak,714.2159,6.6131,108
2023-09-12,off_peak,665.3484,3.6964,180
2023-09-12,peak,791.1668,7.3256,108
2023-09-13,off_peak,653.4293,3.6302,180
2023-09-13,peak,681.9057,6.3139,108
2023-09-14,off_peak,647.5754,3.5976,180
2023-09-14,peak,677.2052,6.2704,108
2023-09-15,off_peak,689.2048,3.8289,180
2023-09-15,peak,674.9934,6.2499,108
2023-09-16,off_peak,523.7931,2.91,180
2023-09-16,peak,514.2388,4.7615,108
2023-09-17,off_peak,502.3347,2.7907,180
2023-09-17,peak,552.8748,5.1192,108
2023-09-18,off_peak,682.2958,3.7905,180
2023-09-18,peak,707.832,6.554,108
2023-09-19,off_peak,657.5821,3.6532,180
2023-09-19,peak,661.8775,6.1285,108
2023-09-20,off_peak,645.023,3.5835,180
2023-09-20,peak,677.6681,6.2747,108
2023-09-21,off_peak,667.2022,3.7067,180
2023-09-21,peak,686.0351,6.3522,108
2023-09-22,off_peak,716.2162,3.979,180
2023-09-22,peak,695.0549,6.4357,108
2023-09-23,off_peak,519.3707,2.8854,180
2023-09-23,peak,501.014,4.639,108
2023-09-24,off_peak,499.6427,2.7758,180
2023-09-24,peak,494.8237,4.5817,108
2023-09-25,off_peak,654.0353,3.6335,180
2023-09-25,peak,675.1493,6.2514,108
2023-09-26,off_peak,636.1071,3.5339,180
2023-09-26,peak,703.9662,6.5182,108
2023-09-27,off_peak,645.3608,3.5853,180
2023-09-27,peak,648.1001,6.0009,108
2023-09-28,off_peak,625.9388,3.4774,180
2023-09-28,peak,641.1422,5.9365,108
2023-09-29,off_peak,636.2047,3.5345,180
2023-09-29,peak,675.2991,6.2528,108
2023-09-30,off_peak,496.2508,2.7569,180
2023-09-30,peak,498.7205,4.6178,108
2023-10-01,off_peak,495.854,2.7547,180
2023-10-01,peak,484.4032,4.4852,108
2023-10-02,off_peak,646.2165,3.5901,180
2023-10-02,peak,703.3572,6.5126,108
2023-10-03,off_peak,629.2843,3.496,180
2023-10-03,peak,657.297,6.0861,108
2023-10-04,off_peak,636.7763,3.5376,180
2023-10-04,peak,685.0855,6.3434,108
2023-10-05,off_peak,637.7269,3.5429,180
2023-10-05,peak,708.1736,6.5572,108
2023-10-06,off_peak,652.3445,3.6241,180
2023-10-06,peak,646.6555,5.9876,108
2023-10-07,off_peak,492.7542,2.7375,180
2023-10-07,peak,523.9558,4.8514,108
2023-10-08,off_peak,497.7698,2.7654,180
2023-10-08,peak,499.5903,4.6258,108
2023-10-09,off_peak,628.3491,3.4908,180
2023-10-09,peak,661.5007,6.125,108
2023-10-10,off_peak,637.187,3.5399,180
2023-10-10,peak,640.449,5.9301,108
2023-10-11,off_peak,650.705,3.615,180
2023-10-11,peak,648.502,6.0046,108
2023-10-12,off_peak,642.2602,3.5681,180
2023-10-12,peak,676.5734,6.2646,108
2023-10-13,off_peak,649.0627,3.6059,180
2023-10-13,peak,682.308,6.3177,108
2023-10-14,off_peak,474.8418,2.638,180
2023-10-14,peak,511.3999,4.7352,108
2023-10-15,off_peak,487.839,2.7102,180
2023-10-15,peak,496.3296,4.5956,108
2023-10-16,off_peak,641.2116,3.5623,180
2023-10-16,peak,666.8491,6.1745,108
2023-10-17,off_peak,651.8233,3.6212,180
2023-10-17,peak,656.1121,6.0751,108
2023-10-18,off_peak,658.0741,3.656,180
2023-10-18,peak,676.1505,6.2607,108
2023-10-19,off_peak,677.5311,3.7641,180
2023-10-19,peak,669.5439,6.1995,108
2023-10-20,off_peak,635.5338,3.5307,180
2023-10-20,peak,662.6948,6.1361,108
2023-10-21,off_peak,483.9555,2.6886,180
2023-10-21,peak,500.024,4.6299,108
2023-10-22,off_peak,494.6154,2.7479,180
2023-10-22,peak,497.169,4.6034,108
2023-10-23,off_peak,653.29,3.6294,180
2023-10-23,peak,659.3171,6.1048,108
2023-10-24,off_peak,656.5002,3.6472,180
2023-10-24,peak,654.2762,6.0581,108
2023-10-25,off_peak,637.6625,3.5426,180
2023-10-25,peak,644.9691,5.9719,108
2023-10-26,off_peak,641.817,3.5656,180
2023-10-26,peak,664.55,6.1532,108
2023-10-27,off_peak,648.0624,3.6003,180
2023-10-27,peak,643.8265,5.9614,108
2023-10-28,off_peak,506.4257,2.8135,180
2023-10-28,peak,501.2506,4.6412,108
2023-10-29,off_peak,507.4695,2.8193,180
2023-10-29,peak,516.03,4.7781,108
2023-10-30,off_peak,633.5045,3.5195,180
2023-10-30,peak,671.4773,6.2174,108
2023-10-31,off_peak,655.7303,3.6429,180
2023-10-31,peak,661.0965,6.1213,108
2023-11-01,off_peak,666.0873,3.7005,180
2023-11-01,peak,673.9878,6.2406,108
2023-11-02,off_peak,650.6178,3.6145,180
2023-11-02,peak,673.5272,6.2364,108
