year,month,meter_id,total_consumption,avg_consumption,max_consumption,min_consumption,reading_count
2023,3,MTR-008,3394.5012,4.5625,34.3815,0.8103,744
2023,3,MTR-009,6258.2692,8.4117,38.5297,1.0213,744
2023,3,MTR-010,1252.9116,1.684,7.3616,0.1088,744
2023,3,MTR-011,3008.3737,4.0435,19.9259,0.1332,744
2023,3,MTR-012,4895.328,6.5797,35.8444,0.2689,744
2023,4,MTR-001,1178.9114,1.6374,7.6652,0.2026,720
2023,4,MTR-002,3036.0177,4.2167,19.0957,0.6039,720
2023,4,MTR-003,4498.979,6.2486,13.8836,0.3991,720
2023,4,MTR-004,1375.8483,1.9109,10.3854,0.1381,720
2023,4,MTR-005,2958.9688,4.1097,12.4975,0.1312,720
2023,4,MTR-006,4603.7159,6.394,38.1852,0.4007,720
2023,4,MTR-007,1176.6215,1.6342,10.5933,0.0597,720
2023,4,MTR-008,3083.3706,4.2825,17.5748,0.1298,720
2023,4,MTR-009,5751.044,7.9876,56.9462,0.53,720
2023,4,MTR-010,1179.3082,1.6379,11.7131,0.1036,720
2023,4,MTR-011,2793.4608,3.8798,15.8986,0.1824,720
2023,4,MTR-012,4474.7477,6.2149,41.6709,0.6823,720
2023,5,MTR-001,1316.4283,1.7694,12.2554,0.1502,744
2023,5,MTR-002,3542.9423,4.762,27.7935,0.2129,744
2023,5,MTR-003,5258.5372,7.0679,48.38,0.6151,744
2023,5,MTR-004,1542.5274,2.0733,10.7107,0.0621,744
2023,5,MTR-005,3409.6132,4.5828,35.1242,0.4102,744
2023,5,MTR-006,5278.0704,7.0942,30.6677,1.3658,744
2023,5,MTR-007,1277.6502,1.7173,7.7854,0.2013,744
2023,5,MTR-008,3539.6639,4.7576,25.5721,0.1615,744
2023,5,MTR-009,6531.6436,8.7791,62.2235,0.147,744
2023,5,MTR-010,1318.6606,1.7724,8.9974,0.0913,744
2023,5,MTR-011,3211.1989,4.3161,29.1943,0.1662,744
2023,5,MTR-012,5115.354,6.8755,36.1446,0.991,744
2023,6,MTR-001,1380.6068,1.9175,15.2645,0.2294,720
2023,6,MTR-002,3655.7678,5.0775,26.8533,0.7381,720
2023,6,MTR-003,5501.2984,7.6407,37.4867,0.2048,720
2023,6,MTR-004,1621.4207,2.252,10.8817,0.4926,720
2023,6,MTR-005,3531.825,4.9053,11.2763,0.1324,720
2023,6,MTR-006,5628.2587,7.817,42.1273,1.4025,720
2023,6,MTR-007,1373.6369,1.9078,10.7152,0.0511,720
2023,6,MTR-008,3738.5702,5.1925,31.5605,0.2976,720
2023,6,MTR-009,6804.9274,9.4513,37.4194,0.2971,720
2023,6,MTR-010,1376.2732,1.9115,9.673,0.1445,720
2023,6,MTR-011,3327.3575,4.6213,18.2492,0.6446,720
2023,6,MTR-012,5393.3864,7.4908,41.5947,0.0781,720
2023,7,MTR-001,1467.9129,1.973,9.9433,0.1577,744
2023,7,MTR-002,3777.8255,5.0777,38.5679,0.2367,744
2023,7,MTR-003,5655.3205,7.6012,31.1489,0.3947,744
2023,7,MTR-004,1715.7026,2.3061,13.9861,0.2172,744
2023,7,MTR-005,3700.4846,4.9738,16.5998,0.4138,744
2023,7,MTR-006,5749.0457,7.7272,58.4891,0.3477,744
2023,7,MTR-007,1436.9069,1.9313,13.0894,0.0276,744
2023,7,MTR-008,3921.1305,5.2703,40.0241,0.3884,744
2023,7,MTR-009,7045.2487,9.4694,24.697,1.1937,744
2023,7,MTR-010,1467.8024,1.9729,9.6289,0.1138,744
2023,7,MTR-011,3473.4605,4.6686,26.1955,0.6315,744
2023,7,MTR-012,5603.1715,7.5311,76.4917,0.704,744
2023,8,MTR-001,1395.4115,1.8756,12.6914,0.21,744
2023,8,MTR-002,3762.0994,5.0566,26.998,0.7205,744
2023,8,MTR-003,5459.6414,7.3382,35.9594,0.3596,744
2023,8,MTR-004,1624.5398,2.1835,10.2533,0.4874,744
2023,8,MTR-005,3624.063,4.8711,21.2056,0.6029,744
2023,8,MTR-006,5647.6128,7.5909,42.8654,0.1887,744
2023,8,MTR-007,1380.8429,1.856,10.8619,0.1135,744
2023,8,MTR-008,3773.2282,5.0715,40.9313,0.1669,744
2023,8,MTR-009,6913.055,9.2917,45.5096,0.7768,744
2023,8,MTR-010,1384.3025,1.8606,7.5145,0.1367,744
2023,8,MTR-011,3400.6659,4.5708,30.2292,0.869,744
2023,8,MTR-012,5462.7681,7.3424,27.9408,1.3454,744
2023,9,MTR-001,1237.9107,1.7193,6.9934,0.2454,720
2023,9,MTR-002,3156.2468,4.3837,19.5532,0.3751,720
2023,9,MTR-003,4736.3547,6.5783,25.0139,0.2562,720
2023,9,MTR-004,1438.1297,1.9974,10.2935,0.1069,720
2023,9,MTR-005,3184.5024,4.4229,34.929,0.3172,720
2023,9,MTR-006,4837.3425,6.7185,45.3958,0.8142,720
2023,9,MTR-007,1198.0282,1.6639,5.3719,0.1494,720
2023,9,MTR-008,3237.1991,4.4961,18.3084,0.2065,720
2023,9,MTR-009,5978.8462,8.304,41.3048,1.1417,720
2023,9,MTR-010,1223.9958,1.7,6.2969,0.3098,720
2023,9,MTR-011,2951.9965,4.1,20.0878,0.8131,720
2023,9,MTR-012,4760.0825,6.6112,58.7323,0.5083,720
2023,10,MTR-001,1223.3448,1.6443,7.4178,0.0991,744
2023,10,MTR-002,3164.7603,4.2537,26.1041,0.1093,744
2023,10,MTR-003,4834.2625,6.4977,51.1385,0.4551,744
2023,10,MTR-004,1412.9652,1.8991,6.8386,0.2424,744
2023,10,MTR-005,3090.4677,4.1539,20.1065,0.2812,744
2023,10,MTR-006,4850.5101,6.5195,43.7879,1.0488,744
2023,10,MTR-007,1182.4104,1.5893,7.3994,0.2926,744
2023,10,MTR-008,3274.1434,4.4007,33.8567,0.2438,744
2023,10,MTR-009,5900.1895,7.9304,32.4634,0.8474,744
2023,10,MTR-010,1218.1451,1.6373,7.522,0.1317,744
2023,10,MTR-011,2960.2445,3.9788,31.3962,0.0725,744
2023,10,MTR-012,4701.6522,6.3194,48.4796,0.4049,744
2023,11,MTR-001,1251.6982,1.7385,8.1647,0.1234,720
2023,11,MTR-002,3318.7751,4.6094,25.3568,0.15,720
2023,11,MTR-003,4988.861,6.929,39.6216,0.6857,720
2023,11,MTR-004,1463.0357,2.032,11.6878,0.1665,720
2023,11,MTR-005,3282.109,4.5585,30.4495,0.3595,720
2023,11,MTR-006,5021.8846,6.9748,44.3971,1.31,720
2023,11,MTR-007,1219.3153,1.6935,5.8282,0.0335,720
2023,11,MTR-008,3395.553,4.716,27.7461,0.2739,720
2023,11,MTR-009,6088.3944,8.4561,17.3887,0.7082,720
2023,11,MTR-010,1258.1321,1.7474,5.6009,0.1483,720
2023,11,MTR-011,3008.5466,4.1785,16.4922,0.1109,720
2023,11,MTR-012,4904.8108,6.8122,28.2365,0.227,720
2023,12,MTR-001,1358.3847,1.8866,12.5696,0.1673,720
2023,12,MTR-002,3504.5729,4.8675,34.5239,0.4245,720
2023,12,MTR-003,5279.3375,7.3324,46.0708,0.7652,720
2023,12,MTR-004,1594.455,2.2145,12.1036,0.4365,720
2023,12,MTR-005,3427.814,4.7609,24.7748,0.1728,720
2023,12,MTR-006,5295.8458,7.3553,44.7646,0.412,720
2023,12,MTR-007,1322.517,1.8368,8.4474,0.1191,720
2023,12,MTR-008,3567.47,4.9548,23.9339,0.408,720
2023,12,MTR-009,6631.4329,9.2103,47.7201,2.0536,720
2023,12,MTR-010,1352.6361,1.8787,12.5119,0.119,720
2023,12,MTR-011,3216.9139,4.4679,17.6242,0.2708,720
2023,12,MTR-012,5239.8667,7.2776,44.2428,0.4162,720
